city,locality,propertyType,bedrooms,bathrooms,area,propertyAge,floor,amenities_count,parking,price
Delhi,Saket,Apartment,3,2,3530,24,24,7,0,38530000.0
Delhi,Saket,Apartment,1,1,3157,1,13,6,1,32270000.0
Bangalore,Indiranagar,Independent House,5,5,3902,14,22,8,0,27040000.0
Delhi,Dwarka,Apartment,2,1,1917,12,19,4,1,22230000.0
Delhi,Saket,Independent House,1,1,4258,19,6,7,1,46830000.0
Chennai,Velachery,Villa,1,1,2552,19,20,8,0,12920000.0
Chennai,Velachery,Villa,3,3,2562,20,14,4,1,14030000.0
Bangalore,Koramangala,Villa,5,6,2257,2,6,7,1,25710000.0
Delhi,Vasant Kunj,Apartment,3,2,2597,10,12,5,0,27540000.0
Mumbai,Worli,Commercial Property,0,1,3661,24,12,4,0,70990000.0
Bangalore,Koramangala,Villa,4,5,1296,1,17,4,1,15360000.0
Hyderabad,Gachibowli,Commercial Property,0,1,3923,3,15,0,0,24240000.0
Mumbai,Worli,Commercial Property,0,1,2377,21,12,8,0,38470000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,3826,10,21,7,1,22380000.0
Bangalore,Whitefield,Villa,5,6,3436,2,12,9,1,24760000.0
Mumbai,Andheri,Independent House,1,1,3152,6,17,2,1,52410000.0
Mumbai,Powai,Apartment,3,3,3265,16,18,3,0,60030000.0
Mumbai,Andheri,Commercial Property,0,1,2661,0,13,3,1,43640000.0
Mumbai,Powai,Apartment,1,1,2413,0,17,5,1,45670000.0
Chennai,ECR,Commercial Property,0,1,3827,10,24,2,0,20970000.0
Bangalore,Whitefield,Independent House,5,6,3874,22,7,9,1,27850000.0
Delhi,Dwarka,Commercial Property,0,1,3301,19,13,7,0,34710000.0
Delhi,Vasant Kunj,Independent House,4,4,770,2,5,0,0,8660000.0
Mumbai,Juhu,Commercial Property,0,1,2512,23,24,9,1,42090000.0
Chennai,OMR,Independent House,5,6,3424,4,21,8,0,20750000.0
Delhi,Rohini,Apartment,2,3,2138,5,21,3,0,25880000.0
Delhi,Connaught Place,Commercial Property,0,1,2034,3,15,8,0,33290000.0
Bangalore,Koramangala,Villa,5,4,1635,18,14,8,1,16810000.0
Delhi,Rohini,Villa,5,4,771,22,10,9,1,9130000.0
Chennai,OMR,Independent House,2,2,3052,16,4,3,0,17770000.0
Hyderabad,Kondapur,Villa,1,1,1714,24,19,3,0,10960000.0
Bangalore,Whitefield,Villa,1,2,906,6,17,1,0,5910000.0
Chennai,ECR,Villa,4,3,2038,16,17,6,1,12250000.0
Mumbai,Andheri,Independent House,4,4,868,18,11,3,0,14730000.0
Bangalore,Indiranagar,Villa,2,1,1258,3,24,2,1,9570000.0
Chennai,Adyar,Apartment,1,1,2830,15,6,7,0,24050000.0
Mumbai,Powai,Commercial Property,0,1,4126,9,20,3,1,71220000.0
Mumbai,Bandra,Apartment,3,3,4355,22,19,2,1,104630000.0
Delhi,Vasant Kunj,Apartment,4,4,4136,10,5,0,1,44860000.0
Chennai,Anna Nagar,Villa,5,5,1387,0,18,8,0,9610000.0
Mumbai,Andheri,Villa,4,3,1664,19,22,6,0,28410000.0
Mumbai,Juhu,Commercial Property,0,1,2315,17,10,8,0,37580000.0
Hyderabad,Gachibowli,Apartment,2,2,4141,4,9,4,1,26640000.0
Chennai,OMR,Independent House,1,2,3566,2,10,1,0,20820000.0
Bangalore,HSR Layout,Commercial Property,0,1,2713,21,11,6,0,17540000.0
Delhi,Saket,Apartment,4,5,1095,2,15,1,1,13570000.0
Mumbai,Powai,Villa,1,1,3923,15,6,8,0,67640000.0
Delhi,Dwarka,Apartment,4,3,3142,24,10,4,0,33140000.0
Mumbai,Juhu,Independent House,4,4,2961,24,13,0,0,52470000.0
Chennai,OMR,Commercial Property,0,1,2420,9,4,8,0,13800000.0
Chennai,Velachery,Villa,3,3,1189,2,20,4,0,7900000.0
Delhi,Rohini,Independent House,1,2,4493,18,24,0,0,50580000.0
Bangalore,Koramangala,Commercial Property,0,1,4251,6,17,4,0,37960000.0
Delhi,Vasant Kunj,Apartment,5,6,1443,1,8,1,0,16170000.0
Chennai,Adyar,Commercial Property,0,1,2129,15,23,9,1,17630000.0
Mumbai,Worli,Independent House,5,5,2934,9,6,0,0,56400000.0
Mumbai,Andheri,Apartment,1,1,889,10,7,0,1,15730000.0
Hyderabad,HITECH City,Villa,3,2,3317,10,6,9,1,20760000.0
Delhi,Saket,Apartment,4,4,4437,21,11,9,0,46760000.0
Hyderabad,Jubilee Hills,Villa,4,5,3700,22,3,5,1,31350000.0
Hyderabad,Kondapur,Apartment,1,1,3407,20,18,6,0,21780000.0
Delhi,Saket,Independent House,4,3,1652,3,12,7,1,19740000.0
Hyderabad,Kondapur,Independent House,2,1,2272,22,14,6,1,14840000.0
Bangalore,Indiranagar,Villa,2,3,3395,0,17,4,0,23940000.0
Mumbai,Juhu,Independent House,1,1,2808,9,23,0,1,54360000.0
Mumbai,Bandra,Independent House,1,1,3810,4,23,3,0,96110000.0
Hyderabad,HITECH City,Independent House,5,5,984,5,12,1,1,6740000.0
Chennai,OMR,Villa,3,3,998,13,10,2,1,5690000.0
Bangalore,HSR Layout,Independent House,3,3,4482,23,8,8,0,33570000.0
Chennai,Adyar,Independent House,2,3,1501,0,18,1,0,12220000.0
Chennai,Velachery,Apartment,5,4,744,6,24,9,0,5310000.0
Hyderabad,Gachibowli,Apartment,3,4,1837,16,7,4,0,10460000.0
Chennai,Adyar,Apartment,3,2,3958,14,21,9,1,33880000.0
Delhi,Vasant Kunj,Commercial Property,0,1,3664,24,22,8,0,37120000.0
Chennai,ECR,Independent House,3,3,928,14,3,4,1,5720000.0
Bangalore,Whitefield,Commercial Property,0,1,4307,7,22,5,1,28440000.0
Delhi,Connaught Place,Commercial Property,0,1,3620,12,18,1,0,58870000.0
Delhi,Rohini,Independent House,2,1,2870,18,3,5,1,31200000.0
Mumbai,Worli,Independent House,4,5,3693,10,11,1,1,72040000.0
Chennai,Anna Nagar,Independent House,4,4,2864,23,15,8,1,17620000.0
Bangalore,Koramangala,Apartment,5,5,3354,19,17,2,0,31770000.0
Delhi,Rohini,Independent House,4,3,3442,5,17,6,0,39800000.0
Bangalore,HSR Layout,Villa,5,4,1993,9,12,9,0,16090000.0
Mumbai,Bandra,Commercial Property,0,1,1454,1,12,9,1,39040000.0
Chennai,Velachery,Villa,2,3,1357,22,18,0,1,7640000.0
Chennai,Adyar,Villa,3,3,2608,0,13,4,1,20240000.0
Mumbai,Worli,Independent House,2,3,4008,14,15,3,1,76380000.0
Delhi,Dwarka,Apartment,4,3,4111,7,1,4,0,44060000.0
Hyderabad,Kondapur,Commercial Property,0,1,2114,4,24,1,1,12330000.0
Mumbai,Juhu,Independent House,5,5,2437,1,8,0,1,47110000.0
Mumbai,Worli,Commercial Property,0,1,1456,9,3,2,0,23690000.0
Hyderabad,Kondapur,Apartment,3,4,4270,20,19,5,0,23580000.0
Delhi,Rohini,Independent House,2,1,1491,3,23,9,0,18790000.0
Hyderabad,Kondapur,Apartment,2,3,3084,3,19,1,1,17750000.0
Chennai,Anna Nagar,Commercial Property,0,1,3402,23,11,1,0,18620000.0
Mumbai,Juhu,Independent House,5,5,2423,21,17,9,1,48890000.0
Mumbai,Powai,Apartment,2,3,2090,21,18,7,0,41170000.0
Delhi,Rohini,Independent House,1,2,4082,24,9,5,1,45440000.0
Chennai,Anna Nagar,Apartment,4,4,2249,17,15,0,0,14110000.0
Bangalore,HSR Layout,Villa,1,2,3630,10,15,7,1,26870000.0
Mumbai,Worli,Commercial Property,0,1,1617,12,13,1,0,30780000.0
Bangalore,HSR Layout,Villa,2,3,3423,7,11,5,1,22370000.0
Bangalore,Indiranagar,Commercial Property,0,1,1667,13,11,6,1,12650000.0
Mumbai,Juhu,Independent House,1,2,678,19,5,9,0,12730000.0
Chennai,ECR,Villa,4,5,1832,22,12,0,0,11270000.0
Hyderabad,Jubilee Hills,Villa,3,3,2469,6,12,9,1,21830000.0
Bangalore,Koramangala,Commercial Property,0,1,3032,19,3,4,1,27610000.0
Delhi,Saket,Villa,5,5,3115,9,7,0,1,36670000.0
Delhi,Rohini,Villa,4,5,1861,5,24,7,0,19950000.0
Mumbai,Worli,Villa,5,5,1789,7,14,7,0,30290000.0
Delhi,Vasant Kunj,Apartment,2,1,1962,9,21,7,1,22170000.0
Hyderabad,HITECH City,Commercial Property,0,1,3942,11,8,0,0,21970000.0
Hyderabad,HITECH City,Commercial Property,0,1,539,19,21,1,0,2940000.0
Delhi,Connaught Place,Villa,3,4,3308,2,16,1,1,50060000.0
Delhi,Saket,Apartment,5,4,1348,16,5,5,0,16680000.0
Delhi,Dwarka,Villa,4,5,1595,24,13,5,0,18450000.0
Delhi,Rohini,Villa,3,4,1760,21,2,5,1,21690000.0
Chennai,Adyar,Villa,3,4,3647,16,5,3,0,25870000.0
Hyderabad,Gachibowli,Commercial Property,0,1,882,21,4,9,1,4890000.0
Delhi,Rohini,Apartment,4,3,4468,14,13,0,1,49810000.0
Bangalore,Whitefield,Apartment,3,3,1634,12,7,4,0,12750000.0
Hyderabad,Gachibowli,Villa,2,3,1412,6,13,1,0,9240000.0
Bangalore,Electronic City,Independent House,5,5,3208,15,23,0,1,22200000.0
Chennai,Anna Nagar,Villa,4,5,1064,22,20,0,0,6220000.0
Chennai,Anna Nagar,Independent House,3,3,4291,8,15,0,0,22270000.0
Chennai,Adyar,Villa,4,3,2654,7,10,2,0,21650000.0
Chennai,OMR,Commercial Property,0,1,1232,20,21,7,0,7190000.0
Bangalore,Electronic City,Apartment,3,3,2235,8,17,2,0,15790000.0
Chennai,ECR,Independent House,2,3,603,18,7,0,1,3640000.0
Delhi,Dwarka,Villa,5,6,3815,3,22,9,0,41690000.0
Bangalore,Electronic City,Commercial Property,0,1,3859,16,9,3,0,26420000.0
Mumbai,Andheri,Commercial Property,0,1,2273,7,24,0,1,39610000.0
Chennai,Anna Nagar,Commercial Property,0,1,3447,5,12,8,0,17940000.0
Delhi,Rohini,Apartment,2,3,1773,23,22,9,0,20880000.0
Bangalore,Whitefield,Independent House,5,6,2477,15,17,2,1,19810000.0
Delhi,Dwarka,Independent House,2,3,2898,17,20,6,1,31200000.0
Chennai,OMR,Villa,3,3,648,24,20,0,1,3570000.0
Hyderabad,HITECH City,Commercial Property,0,1,2288,14,14,3,0,13350000.0
Hyderabad,HITECH City,Villa,5,5,3172,10,16,6,1,20820000.0
Hyderabad,Banjara Hills,Independent House,3,3,2685,24,20,0,1,17480000.0
Hyderabad,Kondapur,Villa,5,4,810,4,24,5,0,5920000.0
Mumbai,Andheri,Apartment,4,5,2577,10,12,6,1,50340000.0
Hyderabad,Kondapur,Villa,4,4,1105,8,7,9,0,7470000.0
Bangalore,HSR Layout,Apartment,4,3,1962,21,8,4,0,14620000.0
Chennai,Velachery,Villa,2,1,1858,16,22,5,0,10250000.0
Chennai,OMR,Villa,2,1,1156,5,17,5,0,6590000.0
Hyderabad,Kondapur,Independent House,5,4,2962,20,24,2,1,17340000.0
Bangalore,Indiranagar,Independent House,1,1,2573,14,5,9,1,17580000.0
Mumbai,Andheri,Villa,4,3,1772,13,14,6,1,31300000.0
Mumbai,Powai,Independent House,4,5,3908,2,19,3,1,74190000.0
Bangalore,HSR Layout,Commercial Property,0,1,2928,16,7,1,0,19920000.0
Delhi,Rohini,Villa,2,2,2456,15,15,3,1,25560000.0
Delhi,Connaught Place,Apartment,2,1,1717,2,22,7,1,29960000.0
Chennai,ECR,Villa,4,5,602,9,16,2,1,4550000.0
Bangalore,Koramangala,Apartment,5,4,922,1,11,6,0,9520000.0
Bangalore,Electronic City,Villa,4,3,3466,5,10,1,0,25110000.0
Chennai,ECR,Villa,4,4,3171,23,3,9,0,19100000.0
Delhi,Connaught Place,Apartment,1,2,4472,21,24,5,0,75000000.0
Delhi,Saket,Apartment,3,3,2038,8,12,6,1,24300000.0
Chennai,Adyar,Apartment,1,2,1213,18,15,4,0,9330000.0
Chennai,Anna Nagar,Villa,5,6,3596,9,14,9,0,22060000.0
Chennai,OMR,Villa,3,3,2301,2,11,4,0,14770000.0
Chennai,Velachery,Commercial Property,0,1,1309,17,22,0,0,6630000.0
Hyderabad,Jubilee Hills,Villa,1,2,930,14,16,9,1,8090000.0
Delhi,Dwarka,Villa,3,4,2830,14,8,6,0,31030000.0
Delhi,Connaught Place,Apartment,3,2,1586,16,24,3,0,22870000.0
Bangalore,HSR Layout,Commercial Property,0,1,2384,14,12,4,1,15950000.0
Bangalore,Electronic City,Commercial Property,0,1,3864,2,15,3,0,27310000.0
Mumbai,Juhu,Villa,5,4,2574,22,20,3,0,44990000.0
Delhi,Dwarka,Villa,2,1,1449,3,13,2,0,17460000.0
Mumbai,Juhu,Commercial Property,0,1,1191,19,15,3,0,19970000.0
Mumbai,Worli,Independent House,1,1,1811,3,18,1,0,30570000.0
Mumbai,Juhu,Villa,2,1,3871,1,13,9,0,65750000.0
Delhi,Saket,Villa,3,2,2376,18,21,1,0,26020000.0
Bangalore,Koramangala,Commercial Property,0,1,2387,15,16,6,0,22990000.0
Chennai,Adyar,Independent House,5,6,1933,14,18,0,0,15760000.0
Chennai,Anna Nagar,Apartment,2,3,1909,9,24,3,1,10100000.0
Mumbai,Andheri,Independent House,3,2,3766,11,3,9,0,70010000.0
Bangalore,Indiranagar,Commercial Property,0,1,3887,21,20,5,1,28540000.0
Hyderabad,Gachibowli,Commercial Property,0,1,1307,0,13,7,0,8440000.0
Hyderabad,Kondapur,Villa,1,1,2910,8,16,1,1,17630000.0
Bangalore,HSR Layout,Commercial Property,0,1,1087,8,10,8,1,8500000.0
Delhi,Dwarka,Apartment,3,3,1422,1,14,1,0,17420000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,1370,23,21,9,1,7570000.0
Bangalore,Koramangala,Commercial Property,0,1,831,21,24,5,1,8810000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,1619,0,13,3,1,10910000.0
Mumbai,Juhu,Independent House,3,2,4023,20,8,2,1,72070000.0
Delhi,Vasant Kunj,Apartment,5,6,4129,14,12,0,0,45950000.0
Delhi,Dwarka,Apartment,5,6,871,22,8,0,0,10720000.0
Chennai,Anna Nagar,Independent House,5,6,4295,2,5,8,0,23130000.0
Chennai,Velachery,Apartment,5,6,4172,7,23,0,1,22420000.0
Mumbai,Powai,Apartment,2,3,4103,13,3,0,0,71470000.0
Chennai,OMR,Villa,5,5,507,15,19,0,0,3840000.0
Hyderabad,Jubilee Hills,Commercial Property,0,1,775,8,7,3,0,6460000.0
Mumbai,Juhu,Independent House,5,4,2735,24,22,3,0,51200000.0
Mumbai,Powai,Commercial Property,0,1,1357,15,19,9,0,24920000.0
Delhi,Vasant Kunj,Commercial Property,0,1,3299,6,19,6,1,33280000.0
Bangalore,Whitefield,Independent House,2,3,3846,5,14,3,1,28440000.0
Delhi,Vasant Kunj,Independent House,3,3,2466,23,7,6,0,30340000.0
Delhi,Dwarka,Villa,4,5,4134,20,5,4,1,50250000.0
Hyderabad,HITECH City,Apartment,1,1,759,10,17,6,1,4810000.0
Delhi,Vasant Kunj,Independent House,5,6,4069,10,15,8,1,49230000.0
Hyderabad,Jubilee Hills,Apartment,4,4,2881,2,17,2,1,23440000.0
Delhi,Rohini,Apartment,1,2,2905,9,15,4,1,32050000.0
Bangalore,Indiranagar,Villa,1,1,3556,8,10,9,0,25910000.0
Hyderabad,Gachibowli,Villa,3,2,3060,11,21,1,1,19930000.0
Mumbai,Andheri,Commercial Property,0,1,2618,17,9,2,1,45500000.0
Mumbai,Worli,Villa,4,5,2334,13,18,2,0,45950000.0
Delhi,Rohini,Apartment,2,3,4060,3,22,1,1,49050000.0
Delhi,Dwarka,Villa,5,6,1978,0,23,9,0,22960000.0
Delhi,Saket,Apartment,2,3,4337,4,10,0,1,51250000.0
Mumbai,Bandra,Villa,5,6,2064,0,11,4,0,54640000.0
Hyderabad,Banjara Hills,Villa,2,3,1658,10,18,5,0,11300000.0
Delhi,Saket,Independent House,2,3,1079,17,4,0,1,12820000.0
Bangalore,HSR Layout,Independent House,2,1,3050,24,21,6,0,23520000.0
Delhi,Connaught Place,Independent House,1,1,1453,12,22,4,0,23820000.0
Hyderabad,Jubilee Hills,Villa,3,4,1389,14,7,2,0,12760000.0
Hyderabad,Jubilee Hills,Villa,4,5,3865,12,19,2,1,31880000.0
Bangalore,HSR Layout,Independent House,4,5,1096,2,13,7,0,9010000.0
Mumbai,Bandra,Commercial Property,0,1,3904,20,7,6,1,104670000.0
Chennai,ECR,Commercial Property,0,1,2813,10,16,7,1,15570000.0
Bangalore,HSR Layout,Apartment,1,1,2017,15,14,8,1,14130000.0
Mumbai,Juhu,Independent House,1,1,3761,12,11,1,0,60980000.0
Chennai,Anna Nagar,Independent House,3,4,2684,7,20,0,1,14490000.0
Bangalore,Whitefield,Villa,5,4,4280,24,20,5,1,32860000.0
Bangalore,Koramangala,Independent House,5,5,674,11,15,1,0,7400000.0
Mumbai,Powai,Independent House,5,5,3297,13,22,7,0,62210000.0
Mumbai,Powai,Villa,4,5,4303,0,19,3,0,73590000.0
Hyderabad,Gachibowli,Independent House,2,3,2006,7,16,5,0,12910000.0
Delhi,Connaught Place,Commercial Property,0,1,943,12,14,7,1,15400000.0
Hyderabad,Gachibowli,Commercial Property,0,1,2444,8,1,5,0,14130000.0
Mumbai,Powai,Independent House,5,6,4229,22,15,0,0,76390000.0
Mumbai,Juhu,Commercial Property,0,1,3659,18,15,7,0,63850000.0
Bangalore,HSR Layout,Independent House,3,2,744,12,21,9,1,6400000.0
Hyderabad,HITECH City,Independent House,4,3,4329,20,17,8,1,25880000.0
Bangalore,Indiranagar,Villa,3,2,3568,5,6,1,1,23880000.0
Hyderabad,Jubilee Hills,Apartment,3,3,2483,16,20,7,0,20490000.0
Chennai,Anna Nagar,Apartment,5,4,1007,10,2,8,1,7230000.0
Mumbai,Powai,Apartment,3,2,2164,9,19,0,1,37100000.0
Bangalore,Koramangala,Apartment,5,4,4217,20,6,8,1,39880000.0
Bangalore,Koramangala,Villa,1,1,1455,23,20,8,0,12940000.0
Chennai,ECR,Apartment,2,1,771,14,3,8,1,5150000.0
Hyderabad,Banjara Hills,Independent House,2,3,4341,12,4,9,0,27870000.0
Chennai,Adyar,Commercial Property,0,1,3937,8,21,2,0,28030000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,3839,4,10,7,0,24490000.0
Bangalore,HSR Layout,Independent House,5,6,4240,13,19,4,0,28660000.0
Bangalore,HSR Layout,Commercial Property,0,1,708,12,2,8,0,4980000.0
Delhi,Dwarka,Independent House,3,3,3670,17,11,5,1,43110000.0
Mumbai,Powai,Commercial Property,0,1,1393,14,16,7,0,24420000.0
Chennai,Anna Nagar,Independent House,3,4,2817,16,19,5,1,15840000.0
Mumbai,Bandra,Apartment,3,3,2255,15,20,2,1,57980000.0
Hyderabad,Kondapur,Independent House,3,3,3093,3,6,7,1,21490000.0
Hyderabad,HITECH City,Independent House,1,1,3723,10,19,1,1,23900000.0
Hyderabad,Jubilee Hills,Villa,5,5,1707,6,8,2,1,15030000.0
Mumbai,Bandra,Apartment,1,1,690,7,24,5,1,18310000.0
Mumbai,Juhu,Commercial Property,0,1,2830,0,16,5,0,50000000.0
Chennai,Adyar,Independent House,2,1,1189,3,5,8,0,10190000.0
Mumbai,Juhu,Commercial Property,0,1,871,14,3,3,1,16160000.0
Hyderabad,Kondapur,Independent House,1,2,2373,17,22,1,0,12900000.0
Mumbai,Andheri,Commercial Property,0,1,4347,14,3,8,1,82770000.0
Hyderabad,Banjara Hills,Apartment,5,4,1045,14,12,8,0,7600000.0
Hyderabad,Kondapur,Apartment,3,3,2933,16,5,8,1,18610000.0
Delhi,Rohini,Apartment,5,5,2838,4,16,1,1,33700000.0
Mumbai,Bandra,Commercial Property,0,1,3050,1,4,4,0,74270000.0
Chennai,OMR,Apartment,5,6,2140,4,8,8,0,14280000.0
Bangalore,Indiranagar,Independent House,4,4,3379,21,22,1,0,25400000.0
Mumbai,Bandra,Villa,1,2,2644,0,24,3,1,63710000.0
Mumbai,Powai,Independent House,1,1,1628,22,4,5,1,27830000.0
Bangalore,Koramangala,Commercial Property,0,1,2560,23,18,5,0,25950000.0
Mumbai,Juhu,Villa,1,2,3205,22,22,2,1,60850000.0
Bangalore,HSR Layout,Independent House,2,2,4346,7,6,5,1,31390000.0
Chennai,Anna Nagar,Villa,3,2,3464,13,9,9,0,18420000.0
Delhi,Saket,Villa,1,1,740,16,24,6,0,8170000.0
Chennai,Anna Nagar,Independent House,5,5,958,19,19,8,1,6080000.0
Bangalore,Koramangala,Apartment,1,2,1633,23,22,2,1,15240000.0
Chennai,Anna Nagar,Villa,3,3,2416,0,20,4,0,13150000.0
Chennai,Adyar,Apartment,3,2,2472,15,12,5,1,18670000.0
Delhi,Vasant Kunj,Commercial Property,0,1,2227,10,17,8,0,26560000.0
Delhi,Rohini,Independent House,4,5,3733,13,13,3,1,42410000.0
Mumbai,Andheri,Villa,2,1,1604,4,12,5,1,31090000.0
Delhi,Vasant Kunj,Villa,5,5,1721,18,18,5,0,18730000.0
Bangalore,Electronic City,Independent House,4,5,3341,0,15,3,0,26270000.0
Mumbai,Bandra,Apartment,5,5,2090,0,16,6,1,53080000.0
Hyderabad,Gachibowli,Independent House,3,4,2960,1,1,8,0,20460000.0
Mumbai,Andheri,Commercial Property,0,1,3141,10,7,8,0,57390000.0
Delhi,Dwarka,Independent House,2,2,1169,3,21,0,0,12480000.0
Bangalore,Whitefield,Commercial Property,0,1,2579,14,17,1,1,16760000.0
Delhi,Dwarka,Independent House,5,6,4172,22,22,9,0,50370000.0
Chennai,ECR,Commercial Property,0,1,3688,5,9,7,1,19450000.0
Chennai,OMR,Commercial Property,0,1,1324,1,24,8,1,8470000.0
Hyderabad,Gachibowli,Commercial Property,0,1,667,10,21,4,1,4420000.0
Bangalore,Electronic City,Apartment,2,2,995,19,5,1,0,6860000.0
Chennai,ECR,Independent House,4,4,3566,19,24,7,0,22050000.0
Chennai,ECR,Independent House,3,4,3535,4,23,2,1,22050000.0
Chennai,Velachery,Villa,4,3,2885,20,3,1,0,17760000.0
Chennai,Anna Nagar,Apartment,4,3,4267,2,11,0,0,26040000.0
Delhi,Connaught Place,Apartment,4,3,3369,0,17,8,1,48760000.0
Bangalore,Electronic City,Independent House,4,4,2435,19,16,6,0,16870000.0
Bangalore,Koramangala,Villa,1,1,3692,12,20,2,1,36610000.0
Bangalore,Whitefield,Villa,4,4,2084,11,12,0,0,15680000.0
Bangalore,HSR Layout,Villa,5,5,3293,8,23,6,0,26060000.0
Delhi,Dwarka,Commercial Property,0,1,3105,2,23,7,1,37070000.0
Mumbai,Andheri,Commercial Property,0,1,737,5,13,3,1,12390000.0
Delhi,Saket,Villa,5,6,1594,15,19,5,1,20200000.0
Mumbai,Juhu,Commercial Property,0,1,942,4,11,2,1,17930000.0
Hyderabad,Kondapur,Apartment,3,2,2489,16,21,7,0,16690000.0
Bangalore,Electronic City,Independent House,2,2,863,22,14,1,0,6430000.0
Chennai,OMR,Independent House,3,2,3327,6,4,9,0,20150000.0
Hyderabad,HITECH City,Commercial Property,0,1,2744,18,2,0,1,16460000.0
Hyderabad,Jubilee Hills,Independent House,1,2,3199,8,2,7,1,26510000.0
Hyderabad,Banjara Hills,Villa,5,4,1373,11,14,5,1,9180000.0
Hyderabad,Banjara Hills,Villa,4,5,634,8,1,9,1,5550000.0
Hyderabad,Banjara Hills,Villa,4,4,3946,5,17,2,1,22630000.0
Mumbai,Andheri,Commercial Property,0,1,1771,5,21,8,1,32030000.0
Chennai,Adyar,Villa,4,3,1255,11,16,9,0,10310000.0
Chennai,Anna Nagar,Villa,2,2,524,10,23,1,0,2900000.0
Hyderabad,HITECH City,Apartment,2,2,3234,0,5,1,1,19900000.0
Bangalore,Electronic City,Villa,2,2,4337,23,8,4,1,30050000.0
Chennai,Adyar,Villa,2,2,3735,0,15,7,0,28340000.0
Mumbai,Andheri,Apartment,3,3,1802,21,16,0,1,35600000.0
Hyderabad,HITECH City,Commercial Property,0,1,556,15,5,9,1,3250000.0
Mumbai,Juhu,Independent House,2,3,3245,11,2,1,0,62920000.0
Delhi,Dwarka,Independent House,5,6,781,23,12,6,1,10190000.0
Chennai,ECR,Apartment,5,6,3901,19,13,8,0,21800000.0
Bangalore,HSR Layout,Commercial Property,0,1,754,14,16,3,0,4950000.0
Delhi,Saket,Commercial Property,0,1,3504,4,23,4,1,36870000.0
Chennai,Adyar,Independent House,5,6,3182,15,4,7,1,27470000.0
Bangalore,Indiranagar,Commercial Property,0,1,856,15,1,8,1,6050000.0
Delhi,Connaught Place,Commercial Property,0,1,696,1,14,1,0,10630000.0
Hyderabad,Gachibowli,Villa,3,3,921,3,21,0,0,6450000.0
Hyderabad,Jubilee Hills,Villa,3,2,1154,5,15,4,0,10280000.0
Mumbai,Andheri,Commercial Property,0,1,2551,17,16,7,1,50380000.0
Delhi,Dwarka,Commercial Property,0,1,3510,8,21,1,0,41900000.0
Chennai,Velachery,Apartment,4,3,3996,12,18,9,1,21220000.0
Hyderabad,Gachibowli,Villa,1,2,3411,16,16,7,0,20990000.0
Bangalore,Indiranagar,Villa,4,3,2606,8,4,6,0,17440000.0
Mumbai,Powai,Villa,1,1,3651,24,15,3,1,65340000.0
Delhi,Connaught Place,Independent House,1,1,1637,24,18,6,1,23130000.0
Hyderabad,Banjara Hills,Independent House,4,5,4269,22,22,4,1,24060000.0
Delhi,Rohini,Apartment,1,1,2584,12,19,1,1,26450000.0
Delhi,Connaught Place,Commercial Property,0,1,864,11,7,8,1,12430000.0
Mumbai,Andheri,Villa,5,6,1277,9,9,6,0,24070000.0
Bangalore,Whitefield,Commercial Property,0,1,3976,7,1,0,0,28410000.0
Hyderabad,HITECH City,Apartment,1,1,3629,24,20,7,1,21740000.0
Mumbai,Worli,Villa,1,1,2369,23,1,0,1,42270000.0
Bangalore,Indiranagar,Apartment,2,3,2056,15,24,6,1,14830000.0
Chennai,Anna Nagar,Apartment,5,5,2466,5,19,0,0,14950000.0
Bangalore,Electronic City,Independent House,1,2,1676,12,6,6,1,11690000.0
Hyderabad,Gachibowli,Apartment,3,2,3520,16,23,8,0,22420000.0
Mumbai,Powai,Commercial Property,0,1,3689,9,10,3,0,59880000.0
Bangalore,HSR Layout,Independent House,1,1,922,17,21,5,0,6190000.0
Delhi,Rohini,Commercial Property,0,1,4492,4,12,3,1,45240000.0
Delhi,Saket,Commercial Property,0,1,2360,17,10,8,0,26510000.0
Chennai,Adyar,Independent House,1,1,3906,8,15,7,1,32430000.0
Mumbai,Powai,Apartment,4,3,3272,16,13,0,1,56790000.0
Mumbai,Worli,Villa,2,2,4499,17,7,0,0,76910000.0
Bangalore,HSR Layout,Villa,4,4,2478,8,9,7,0,18860000.0
Bangalore,Electronic City,Villa,4,4,1527,6,20,8,1,11660000.0
Mumbai,Worli,Apartment,4,5,587,24,1,6,0,10250000.0
Bangalore,Electronic City,Commercial Property,0,1,3357,5,12,6,1,25160000.0
Delhi,Dwarka,Apartment,4,5,817,8,19,6,0,10440000.0
Bangalore,Electronic City,Villa,3,3,917,11,15,5,1,7170000.0
Mumbai,Powai,Villa,2,3,2102,11,16,0,0,36190000.0
Bangalore,HSR Layout,Villa,1,1,4294,4,10,8,0,30660000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,2006,2,4,8,0,11320000.0
Mumbai,Worli,Apartment,5,5,1345,12,6,0,1,24360000.0
Mumbai,Bandra,Apartment,2,1,4160,19,2,3,1,109220000.0
Bangalore,Whitefield,Independent House,3,4,4015,11,24,4,1,30970000.0
Hyderabad,HITECH City,Apartment,5,4,3839,12,24,9,0,23930000.0
Hyderabad,Jubilee Hills,Independent House,5,5,1022,6,21,7,1,10450000.0
